Country;1980;1985;1990;2000;2005;2006;2007;2008;2009;2010;2011;2012;2013
Norway;75,6;75,9;76,5;78,7;79,9;80,2;80,4;80,7;80,9;81,1;81,2;81,4;81,5
Australia;74,4;75,7;76,8;79,6;81,1;81,3;81,6;81,8;81,9;82,1;82,2;82,4;82,5
Switzerland;75,7;76,7;77,6;79,9;81,2;81,4;81,6;81,9;82;82,2;82,3;82,5;82,6
Netherlands;75,7;76,5;77;78,2;79,4;79,7;80;80,2;80,4;80,6;80,8;80,9;81
United States;73,8;74,6;75,2;76,8;77,6;77,8;78;78,2;78,4;78,5;78,7;78,8;78,9
Germany;73;74,4;75,4;77,9;79,2;79,4;79,7;79,9;80,1;80,2;80,4;80,6;80,7
New Zealand;73,1;74;75,3;78,2;79,7;79,9;80,1;80,3;80,5;80,7;80,8;81;81,1
Canada;75;76,3;77,2;79,1;80,1;80,3;80,5;80,6;80,8;81;81,2;81,3;81,5
Singapore;72;73,9;76;78,3;80,2;80,6;81;81,3;81,6;81,8;82;82,2;82,3
Denmark;74,4;74,6;75;76,6;77,9;78,2;78,4;78,6;78,8;79;79,1;79,3;79,4
Ireland;72,5;73,6;74,7;76,7;78,6;79;79,4;79,7;79,9;80,2;80,3;80,5;80,7
Sweden;75,8;76,7;77,5;79,7;80,6;80,8;81;81,1;81,3;81,4;81,6;81,7;81,8
Iceland;76,6;77,1;78,1;79,7;81;81,2;81,3;81,5;81,6;81,7;81,8;82;82,1
United Kingdom;73,5;74,6;75,6;77,7;79;79,3;79,5;79,7;79,9;80,1;80,2;80,4;80,5
Korea (Republic of);66,1;68,9;71,7;76,1;78,7;79,2;79,7;80,1;80,5;80,8;81;81,3;81,5
Hong Kong, China (SAR);74,9;76,3;77,5;80,4;81,9;82,1;82,3;82,5;82,7;82,8;83;83,2;83,4
Japan;76,2;77,8;79;81,2;82,3;82,5;82,6;82,8;82,9;83,1;83,3;83,4;83,6
Liechtenstein;73,6;74,9;76,1;78,2;78,9;79;79,1;79,3;79,4;79,5;79,6;79,8;79,9
Israel;74,1;75,2;76,4;79;80,2;80,5;80,7;80,9;81,1;81,3;81,5;81,6;81,8
France;74,1;75,3;76,6;78,9;80,2;80,5;80,7;81;81,2;81,4;81,5;81,7;81,8
Luxembourg;72,1;73,7;75,2;77,7;78,9;79,2;79,4;79,6;79,8;80;80,2;80,4;80,5
Belgium;73,2;74,5;75,8;77,8;78,9;79,1;79,4;79,6;79,8;80;80,2;80,4;80,5
Austria;72,5;74;75,5;78,1;79,5;79,7;80;80,2;80,4;80,6;80,8;81;81,1
Finland;73,5;74,6;75,2;77,7;78,9;79,1;79,4;79,6;79,8;80;80,2;80,4;80,5
Slovenia;71,1;71,9;73,2;75,9;77,7;78;78,4;78,7;78,9;79,1;79,3;79,4;79,6
Italy;74,1;75,5;76,9;79,5;80,9;81,1;81,4;81,6;81,8;81,9;82,1;82,2;82,4
Spain;75,1;76,4;77;79;80,4;80,7;81;81,3;81,5;81,7;81,8;82;82,1
Czech Republic;70,7;71;71,8;74,7;76,2;76,4;76,7;76,9;77,1;77,3;77,4;77,6;77,7
Greece;73,7;75,1;76,6;78,5;79,4;79,6;79,7;79,9;80,1;80,2;80,4;80,6;80,8
Brunei Darussalam;70,8;72,2;73,6;75,9;77;77,2;77,4;77,6;77,8;78;78,2;78,4;78,5
Qatar;72,7;74,2;75,2;76,7;77,3;77,4;77,6;77,7;77,8;78;78,1;78,2;78,4
Cyprus;74,8;75,7;76,6;78;78,6;78,8;78,9;79;79,2;79,3;79,5;79,7;79,8
Estonia;69,2;70;69,4;70,3;72,6;73;73,4;73,7;73,9;74,1;74,2;74,3;74,4
Saudi Arabia;63;66,6;69;72,4;73,7;74;74,2;74,4;74,6;74,8;75;75,3;75,5
Poland;70,8;71;70,9;73,7;75,1;75,3;75,4;75,6;75,7;75,9;76,1;76,2;76,4
Lithuania;70,5;71,2;70,7;71;71,5;71,5;71,5;71,5;71,5;71,6;71,8;71,9;72,1
Slovakia;70,5;70,8;71,2;73,3;74,3;74,5;74,6;74,8;74,9;75;75,1;75,3;75,4
Andorra;74,9;75,8;76,5;78,9;80,2;80,3;80,5;80,6;80,7;80,8;80,9;81,1;81,2
Malta;73;74,2;75,3;77,4;78,3;78,5;78,7;78,9;79,1;79,2;79,4;79,6;79,8
United Arab Emirates;67,6;69,8;71,5;74,2;75,3;75,5;75,8;76;76,1;76,3;76,5;76,7;76,8
Portugal;71,3;73,2;74,3;76,6;78;78,3;78,6;78,8;79,1;79,3;79,5;79,7;79,9
Chile;69,1;71,9;73,7;76,9;78,3;78,4;78,6;78,7;78,9;79,2;79,4;79,7;80
Hungary;69,3;69,2;69,3;71,8;73,3;73,5;73,7;73,9;74,1;74,2;74,4;74,5;74,6
Cuba;73,8;74,5;74,6;76,7;77,7;77,9;78,2;78,4;78,6;78,7;78,9;79,1;79,3
Bahrain;69,5;71,2;72,4;74,5;75,4;75,6;75,8;75,9;76,1;76,2;76,3;76,5;76,6
Kuwait;69,5;71;72,1;73,1;73,6;73,6;73,7;73,8;73,9;74;74,1;74,2;74,3
Croatia;70,3;71,3;72,3;74,8;75,5;75,7;75,9;76,1;76,4;76,5;76,7;76,9;77
Latvia;68,8;70;69,1;69,7;71,3;71,4;71,5;71,6;71,7;71,8;71,9;72;72,2
Argentina;69,5;70,6;71,6;73,8;74,8;75;75,2;75,4;75,6;75,8;76;76,1;76,3
Uruguay;70,3;71,6;72,6;74,8;75,9;76,1;76,3;76,5;76,6;76,8;76,9;77,1;77,2
Montenegro;73,1;73,8;74,5;74,1;73,7;73,8;74;74,2;74,3;74,5;74,6;74,7;74,8
Bahamas;68,5;69,7;70,7;72,4;73,8;74;74,2;74,4;74,6;74,8;74,9;75,1;75,2
Belarus;70,2;70,9;70,7;67,4;68,5;68,8;69,1;69,3;69,5;69,6;69,7;69,8;69,9
Romania;69,7;69,6;69,5;70,5;72,4;72,7;72,9;73,1;73,3;73,5;73,6;73,7;73,8
Libya;64,2;66,6;68,5;71,9;73,5;73,8;74;74,3;74,5;74,7;74,9;75,1;75,3
Oman;59,8;63,9;67,2;72,1;74,2;65,4;65,6;65,8;65,9;75,7;76;76,3;76,6
Russian Federation;67,4;68,5;68,1;65,1;66;66,4;66,8;67,1;67,4;67,6;67,8;67,9;68
Bulgaria;71,2;71,3;71,3;71,4;72,6;72,7;72,9;73;73,1;73,2;73,3;73,4;73,5
Barbados;68,4;69,8;71,1;73,1;74;74,2;74,4;74,5;74,7;74,9;75;75,2;75,4
Palau;59,2;60,4;62,3;67,6;69,8;70,1;70,5;70,9;71,2;71,5;71,8;72,1;72,4
Antigua and Barbuda;68,9;70,2;71,4;73,5;74,5;74,7;74,9;75,1;75,3;75,4;75,6;75,8;76
Malaysia;68,1;69,5;70,7;72,8;73,7;73,8;74;74,1;74,3;74,5;74,7;74,8;75
Mauritius;67;68,4;69,4;71,2;72,5;72,6;72,7;72,9;73;73,1;73,3;73,5;73,6
Trinidad and Tobago;67;67,5;68;68,5;69;69,1;69,2;69,3;69,4;69,6;69,7;69,8;69,9
Panama;70,2;71,7;73;75,1;76;76,1;76,3;76,5;76,7;76,9;77,1;77,3;77,6
Lebanon;68;68,9;70,2;74,4;77;77,5;78;78,4;78,8;79,1;79,4;79,7;80
